consentimento,TI01[SQ001],TI01[SQ002],TI01[SQ004],TI01[SQ003],TI01[SQ005],TI01[SQ006],TI01[SQ007],TI01[SQ008],TI02[SQ001],TI02[SQ002],TI02[SQ003],TI02[SQ004],TI02[SQ005],TI02[SQ006],TI02[SQ007],TI02[SQ008],TI02[SQ009],hab2,hab3,hab4,HAB01[SQ001],HAB01[SQ002],HAB01[SQ003],HAB01[SQ004],HAB01[SQ005],HAB01[SQ006],HAB01[SQ007],HAB01[SQ008],hab5[SQ007],hab5[SQ008],hab5[SQ002],hab5[SQ001],hab5[SQ003],hab5[SQ004],hab5[SQ005],hab5[SQ006],hab6[SQ001],hab6[SQ002],hab6[SQ003],hab6[SQ004],hab7[SQ001],hab7[SQ002],hab7[SQ003],hab7[SQ004],octs1,octs2,octs3,octs4[SQ001],octs4[SQ002],octs4[SQ003],octs4[SQ004],octs5[SQ001],octs5[SQ002],octs5[SQ003],octs5[SQ004],octs5[SQ005],octs6[SQ001],octs6[SQ002],octs6[SQ003],octs6[SQ004],octs6[SQ005],octs6[SQ006],odc2,odc4[SQ001],odc4[SQ002],odc4[SQ003],odc4[SQ004],odc4[SQ005],odc4[SQ006],odc4[SQ007],odc4[SQ008],odc4[SQ009],odc1[SQ001],odc1[SQ002],odc1[SQ003],odc1[SQ004],odc1[SQ005],odc1[SQ006],odc1[SQ007],odc3[SQ001],odc3[SQ002],odc3[SQ003],odc3[SQ004],odc3[SQ005],odc3[SQ006],odc3[SQ007],odc3[SQ008],odc3[SQ009],adc2,adc8,adc4,adc5,adc07,adc1[SQ001],adc1[SQ002],adc1[SQ003],adc1[SQ004],adc1[SQ005],adc1[SQ006],adc1[SQ007],adc1[SQ008],adc1[SQ009],adc1[SQ010],adc1[SQ011],adc1[SQ012],adc1[SQ013],adc1[SQ014],adc1[SQ015],adc3[SQ001],adc3[SQ002],adc3[SQ003],adc3[SQ004],adc6[SQ001],adc6[SQ002],adc6[SQ003],MO01[SQ001],MO01[SQ002],MO01[SQ003],MO01[SQ004],MO01[SQ005],MO01[SQ006],MO01[SQ007],MO01[SQ008],MO01[SQ009],MO01[SQ010],MO01[SQ011],MO01[SQ012],MO01[SQ013],MO02[SQ001],MO02[SQ002],MO02[SQ003],MO02[SQ004],MO02[SQ005],MO02[SQ006],MO02[SQ007],MO02[SQ008],MO02[SQ009],MO02[SQ010],MO02[SQ011],MO02[SQ012],MO03[SQ001],MO03[SQ002],MO03[SQ003],MO03[SQ004],MO03[SQ005],MO03[SQ006],MO03[SQ007],MO03[SQ008],MO05,MO07,MO04[SQ001],MO04[SQ002],MO04[SQ003],MO04[SQ004],MO06[SQ001],MO06[SQ002],MO06[SQ003],MO06[SQ004],VAL01[SQ001],VAL01[SQ002],VAL01[SQ003],VAL01[SQ004],VAL01[SQ005],VAL01[SQ006],VAL01[SQ007],VAL01[SQ008],VAL01[SQ009],VAL01[SQ010],VAL02[SQ001],VAL02[SQ002],VAL02[SQ003],VAL02[SQ004],VAL02[SQ005],CE02,CE03,CE04,CE05,CE06,CE10,CE07,CE08,CE11,CE13,CE14
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Interessado,Muito Interessado,Muito Interessado,Interessado,Muito Interessado,Muito Interessado,Interessado,Interessado,Sim,Não,Não,Sim,Não,Não,Sim,Não,Não,revista de divulgação cientifica; tese que orientei sobre diivulgação científica; cinema de divulgação científica;internet,Insuficiente,Muito positivas/ de apoio à ciência,Frequentemente,Frequentemente,Às vezes,Frequentemente,Raramente,Frequentemente,Frequentemente,Raramente,Muito prejudicial,Muito prejudicial,Muito prejudicial,Um pouco prejudicial,Um pouco prejudicial,Um pouco prejudicial,Não causa prejuízos,Muito prejudicial,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Intermediário,Muitos benefícios,Nenhum risco,Discordo em partes,Concordo totalmente,Concordo totalmente,Concordo em partes,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo em parte,Discordo em parte,Muito preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Muito importante,Sim,Não,Não,Não,Não,Sim,Não,Não,Sim,Concordo em parte,Concordo totalmente,Concordo totalmente,Concordo em parte,Concordo totalmente,Concordo em parte,Concordo totalmente,Importante,Muito importante,,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Raramente,"Sobre o seu objeto de pesquisa, mas não necessariamente sobre os resultados da sua pesquisa",2 ,2 ,Sim,mais de 5 vezes,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,1 vez,1 vez,,2 vezes,Nenhuma vez,1 vez,Nenhuma vez,Nenhuma vez,mais de 5 vezes,mais de 5 vezes,Muito importante,Muito importante,Muito importante,,,Nunca,,Não,Não,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Concordo totalmente,Sim,Participei como docente,Participei como docente,Conheço mas não participei,Participei como docente,Participei como docente,Participei como docente,Conheço mas não participei,Conheço mas não participei,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,"Pertenço, mas não frequento muito",Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Não fiz, e não faria de jeito nenhum","Sim, já fiz","Sim, já fiz","Não fiz, mas poderia fazer",Feminino,Ensino Médio Incompleto,Branca,Cristã católica ,Importante,tanto ciência básica como aplicada,De esquerda,2,Ciências Biológicas,Sudeste,30
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Muito Interessado,Interessado,Muito Interessado,Pouco Interessado,Muito Interessado,Pouco Interessado,Muito Interessado,Nada Interessado,Sim,Não,Não,Não,Não,Não,Não,Não,Não,"New Scientist, American Scientist",Nulo,Positivas,Frequentemente,Às vezes,Frequentemente,Às vezes,Frequentemente,Frequentemente,Às vezes,Frequentemente,Prejudicial,Prejudicial,Muito prejudicial,Prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,Prejudicial,10.0,7.0,8.0,9.0,10.0,10.0,10.0,10.0,Intermediário,Muitos benefícios,Poucos riscos,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo em partes,Concordo totalmente,Discordo em parte,Concordo em parte,Discordo em parte,Concordo em parte,Nada preocupado,Nada preocupado,Muito preocupado,Muito preocupado,Muito preocupado,Preocupado,Muito importante,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Concordo em parte,Discordo totalmente,Concordo totalmente,Discordo em parte,Concordo totalmente,Discordo em parte,Concordo totalmente,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Raramente,"Sobre o seu objeto de pesquisa, mas não necessariamente sobre os resultados da sua pesquisa",25,25,Não,mais de 5 vezes,1 vez,Nenhuma vez,Nenhuma vez,1 vez,1 vez,Nenhuma vez,1 vez,mais de 5 vezes,1 vez,4 vezes,1 vez,Nenhuma vez,mais de 5 vezes,4 vezes,Importante,Nada importante,Muito importante,Nada importante,Frequentemente,Raramente,Nunca,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Concordo totalmente,Sim,Participei como docente,Participei como docente,,,Participei como docente,Participei como docente,,Participei como docente,Não pertenço,"Pertenço, mas não frequento muito",Não pertenço,"Pertenço, mas não frequento muito",Não pertenço,Não pertenço,"Pertenço, mas não frequento muito",Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Não fiz, mas poderia fazer","Não fiz, mas poderia fazer","Sim, já fiz","Não fiz, mas poderia fazer",Masculino,Ensino Superior,Branca,Ateu ou agnóstico,Pouco importante,ciência básica,De esquerda,1B,Ciências Exatas e da Terra,Sul,30
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Muito Interessado,Muito Interessado,Muito Interessado,Muito Interessado,Muito Interessado,Muito Interessado,Muito Interessado,Interessado,Sim,Não,Sim,Sim,Não,Sim,Não,Sim,Sim,Textos científicos na internet; livros físicos; jornais impressos,Nulo,Muito negativas/ de hostilidade à ciência,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Muito prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,Prejudicial,Prejudicial,Muito prejudicial,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Atrasado,Muitos benefícios,Alguns riscos,Concordo em partes,Concordo totalmente,Concordo totalmente,Concordo em partes,Concordo totalmente,Concordo em parte,Concordo totalmente,Discordo totalmente,Discordo totalmente,Muito preocupado,Muito preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Muito importante,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Discordo totalmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Concordo em parte,Concordo totalmente,Concordo em parte,Nada importante,Importante,Importante,Muito importante,Muito importante,Muito importante,Importante,Muito importante,Muito importante,"Em geral, não",Sobre temas controversos de interesse público nos quais você tem alguma expertise.,04,04,Não,2 vezes,2 vezes,Nenhuma vez,1 vez,Nenhuma vez,1 vez,Nenhuma vez,1 vez,1 vez,1 vez,1 vez,Nenhuma vez,Nenhuma vez,2 vezes,Nenhuma vez,,,,,Frequentemente,Frequentemente,Raramente,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,,Sim,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Não pertenço,Não pertenço,"Pertenço, mas não frequento muito","Pertenço, mas não frequento muito",Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Sim, já fiz","Sim, já fiz","Sim, já fiz",,Masculino,Ensino Superior,Branca,Cristã católica ,Importante,ciência aplicada,De esquerda,1B,Ciências Humanas,Nordeste,30
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Interessado,Muito Interessado,Muito Interessado,Interessado,Muito Interessado,Interessado,Pouco Interessado,Pouco Interessado,Não,Não,Não,Não,Não,Não,Não,Não,Não,New England; Nature reviews ,Insuficiente,Negativas,Frequentemente,Raramente,Frequentemente,Às vezes,Frequentemente,Frequentemente,Às vezes,Frequentemente,Muito prejudicial,Muito prejudicial,Muito prejudicial,Prejudicial,Muito prejudicial,Prejudicial,Muito prejudicial,Muito prejudicial,10.0,10.0,10.0,10.0,7.0,10.0,10.0,10.0,Intermediário,Muitos benefícios,Poucos riscos,Discordo em partes,Concordo totalmente,Concordo totalmente,Concordo em partes,Concordo em parte,Concordo em parte,Concordo totalmente,Concordo em parte,Concordo totalmente,Nada preocupado,Preocupado,Muito preocupado,Preocupado,Muito preocupado,Extremamente preocupado,Importante,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo em parte,Concordo em parte,Concordo em parte,Concordo totalmente,Importante,Importante,Importante,Importante,Muito importante,Muito importante,Importante,Importante,Um pouco importante,"Em geral, não",Sobre temas controversos de interesse público nos quais você tem alguma expertise.,0,0,Não,Nenhuma vez,1 vez,Nenhuma vez,1 vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Muito importante,Muito importante,Importante,Pouco importante,Nunca,Raramente,Raramente,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Concordo totalmente,Não,Conheço mas não participei,Participei como docente,Conheço mas não participei,Participei como docente,Conheço mas não participei,Conheço mas não participei,Conheço mas não participei,Participei como docente,Não pertenço,Pertenço e frequento,Não pertenço,"Pertenço, mas não frequento muito",Não pertenço,Não pertenço,Não pertenço,Pertenço e frequento,Não pertenço,Não pertenço,"Sim, já fiz","Não fiz, mas poderia fazer","Sim, já fiz","Sim, já fiz","Não fiz, mas poderia fazer",Feminino,Ensino Fundamental Incompleto,Branca,Cristã católica ,Pouco importante,ciência básica,De centro,Sênior,Ciências Biológicas,Sudeste,51
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Interessado,Muito Interessado,Interessado,Muito Interessado,Muito Interessado,Muito Interessado,Interessado,Muito Interessado,Sim,Não,Sim,Não,Não,Sim,Sim,Sim,Não,,Insuficiente,Positivas,Às vezes,Frequentemente,Raramente,Frequentemente,Às vezes,Frequentemente,Frequentemente,Às vezes,Muito prejudicial,Muito prejudicial,Muito prejudicial,Prejudicial,Prejudicial,Não causa prejuízos,,Muito prejudicial,9.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,Intermediário,Muitos benefícios,Poucos riscos,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo em partes,Concordo totalmente,Concordo totalmente,Concordo em parte,Concordo em parte,Concordo totalmente,Extremamente preocupado,Muito preocupado,Extremamente preocupado,Muito preocupado,Extremamente preocupado,Extremamente preocupado,Importante,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Concordo em parte,Concordo totalmente,Concordo em parte,Concordo em parte,Concordo em parte,Discordo em parte,Concordo em parte,Importante,Importante,Muito importante,Nada importante,Muito importante,Muito importante,Um pouco importante,Muito importante,Importante,Frequentemente,Sobre temas controversos de interesse público nos quais você tem alguma expertise.,0,0,,1 vez,2 vezes,Nenhuma vez,2 vezes,Nenhuma vez,1 vez,3 vezes,2 vezes,Nenhuma vez,3 vezes,Nenhuma vez,Nenhuma vez,Nenhuma vez,3 vezes,Nenhuma vez,Muito importante,Muito importante,Importante,Pouco importante,Raramente,Raramente,Frequentemente,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Discordo totalmente,,Participei como aluno,Participei como aluno,Participei como docente,Participei como docente,Não conheço,Participei como docente,Não conheço,Participei como docente,Pertenço e frequento,Não pertenço,Pertenço e frequento,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Pertenço e frequento,Não pertenço,Pertenço e frequento,"Não fiz, mas poderia fazer",Não sei,"Sim, já fiz","Não fiz, mas poderia fazer","Não fiz, mas poderia fazer",Feminino,Ensino Superior,Parda,Cristã católica ,Muito importante,tanto ciência básica como aplicada,,2,Ciências da Saúde,Nordeste,14
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Interessado,Interessado,Muito Interessado,Pouco Interessado,Muito Interessado,Pouco Interessado,Muito Interessado,Interessado,Sim,Sim,Sim,Não sei,Não sei,Sim,Não,Sim,Não,Science; Nature,Insuficiente,Muito negativas/ de hostilidade à ciência,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Prejudicial,Prejudicial,Um pouco prejudicial,Um pouco prejudicial,Um pouco prejudicial,Prejudicial,Irrelevante para a ciência,Irrelevante para a ciência,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Atrasado,Muitos benefícios,Poucos riscos,Discordo em partes,Concordo totalmente,Concordo totalmente,Discordo em partes,Concordo totalmente,Discordo em parte,Concordo totalmente,Discordo em parte,Concordo totalmente,Nada preocupado,Nada preocupado,Preocupado,Extremamente preocupado,Preocupado,Muito preocupado,Muito importante,Sim,Não,Não,Sim,Não,Não,Não,Não,Sim,Concordo em parte,Concordo totalmente,Discordo em parte,Discordo em parte,Discordo em parte,Concordo totalmente,Concordo em parte,Importante,Importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Em geral sim,Sobre os resultados de sua pesquisa,Cinco vezes,Quatro,Sim,4 vezes,2 vezes,Nenhuma vez,2 vezes,Nenhuma vez,Nenhuma vez,Nenhuma vez,1 vez,4 vezes,Nenhuma vez,1 vez,Nenhuma vez,Nenhuma vez,1 vez,Nenhuma vez,Pouco importante,Pouco importante,Muito importante,Pouco importante,Frequentemente,Raramente,Raramente,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Concordo totalmente,Sim,Participei como docente,Participei como docente,Participei como docente,Participei como aluno,Participei como docente,Participei como docente,Conheço mas não participei,Participei como docente,Pertenço e frequento,Não pertenço,Não pertenço,Pertenço e frequento,Não pertenço,Não pertenço,Pertenço e frequento,Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Não fiz, mas poderia fazer","Sim, já fiz","Sim, já fiz","Sim, já fiz",Masculino,Ensino Fundamental Incompleto,Branca,Cristã evangélica Pentecostal e Neopentecostal ,Muito importante,ciência aplicada,De centro,2,Ciências Agrárias,Sul,16
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Muito Interessado,Interessado,Muito Interessado,Muito Interessado,Interessado,Pouco Interessado,Interessado,Interessado,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,revista ciência e cultura; revista climacom divulgação científica; revista comciência; podcast vinte mil léguas,Insuficiente,Positivas,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Frequentemente,Muito prejudicial,Muito prejudicial,Muito prejudicial,Um pouco prejudicial,Muito prejudicial,Não causa prejuízos,Muito prejudicial,Muito prejudicial,5.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,Intermediário,Alguns benefícios,Alguns riscos,Concordo em partes,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo em parte,Concordo totalmente,Concordo totalmente,Concordo em parte,Muito preocupado,Muito preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Importante,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Discordo em parte,Concordo em parte,Discordo em parte,Discordo em parte,Concordo totalmente,Concordo em parte,Concordo totalmente,Importante,Muito importante,Um pouco importante,Um pouco importante,Muito importante,Importante,Nada importante,Importante,Um pouco importante,Raramente,Sobre temas controversos de interesse público nos quais você tem alguma expertise.,Nenhuma vez,Nenhuma,Não,2 vezes,2 vezes,2 vezes,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,2 vezes,Nenhuma vez,2 vezes,Nenhuma vez,Nenhuma vez,3 vezes,Nenhuma vez,Nenhuma vez,Importante,Importante,Muito importante,Muito importante,,Raramente,Nunca,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Concordo totalmente,Sim,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Conheço mas não participei,Participei como docente,Não pertenço,Não pertenço,Não pertenço,"Pertenço, mas não frequento muito",Não pertenço,Não pertenço,Pertenço e frequento,"Pertenço, mas não frequento muito",Não pertenço,Não pertenço,"Sim, já fiz","Sim, já fiz","Sim, já fiz","Sim, já fiz","Sim, já fiz",Masculino,Ensino Superior,Branca,Espírita ,Importante,ciência básica,De esquerda,1B,Ciências Humanas,Sudeste,26
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Muito Interessado,Muito Interessado,Muito Interessado,Muito Interessado,Muito Interessado,Interessado,Muito Interessado,Pouco Interessado,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Periódico Científico - Geoderma,Insuficiente,Negativas,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Às vezes,Muito prejudicial,Muito prejudicial,Prejudicial,Um pouco prejudicial,Prejudicial,Um pouco prejudicial,Muito prejudicial,Prejudicial,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Intermediário,Muitos benefícios,Poucos riscos,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo em parte,Concordo totalmente,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Muito importante,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo em parte,Concordo em parte,Concordo em parte,Concordo totalmente,Importante,Importante,Um pouco importante,Importante,Muito importante,Muito importante,Importante,Um pouco importante,Um pouco importante,Raramente,"Sobre o seu objeto de pesquisa, mas não necessariamente sobre os resultados da sua pesquisa",0,0,Sim,2 vezes,1 vez,Nenhuma vez,1 vez,1 vez,1 vez,Nenhuma vez,3 vezes,1 vez,2 vezes,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Muito importante,Muito importante,Importante,Importante,Nunca,Raramente,Nunca,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Sim,Concordo totalmente,Sim,Participei como aluno,Participei como aluno,,Participei como aluno,Conheço mas não participei,Conheço mas não participei,Conheço mas não participei,Conheço mas não participei,Não pertenço,Pertenço e frequento,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Pertenço e frequento,Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Sim, já fiz","Sim, já fiz","Sim, já fiz","Sim, já fiz",Masculino,Ensino Superior,Parda,Cristã católica ,Importante,ciência aplicada,De esquerda,2,Ciências Agrárias,Nordeste,10
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Pouco Interessado,Interessado,Interessado,Interessado,Muito Interessado,Pouco Interessado,Interessado,Pouco Interessado,Sim,Não,Sim,Não,Não,Sim,Não sei,Sim,Não,Revista Fapesp ,Insuficiente,Positivas,Às vezes,Às vezes,Às vezes,Às vezes,Frequentemente,Raramente,Frequentemente,Às vezes,,,Muito prejudicial,Irrelevante para a ciência,Muito prejudicial,,Prejudicial,Muito prejudicial,5.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,Intermediário,Muitos benefícios,Poucos riscos,Concordo em partes,Concordo totalmente,Concordo totalmente,Concordo em partes,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo em parte,Concordo em parte,Nada preocupado,Nada preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Importante,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Discordo em parte,Concordo em parte,Concordo totalmente,Concordo em parte,Concordo em parte,Discordo em parte,Concordo totalmente,Importante,Muito importante,Importante,Importante,Muito importante,Importante,Um pouco importante,Importante,Importante,Não se aplica a mim,Sobre temas controversos de interesse público nos quais você tem alguma expertise.,nenhuma,nenhuma,Não,Nenhuma vez,Nenhuma vez,Nenhuma vez,1 vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,1 vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Importante,Importante,Pouco importante,Nada importante,,,,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não sei,Sim,Participei como docente,Conheço mas não participei,Conheço mas não participei,Conheço mas não participei,Participei como docente,Participei como docente,Participei como aluno,Conheço mas não participei,"Pertenço, mas não frequento muito","Pertenço, mas não frequento muito",Não pertenço,Não pertenço,Não pertenço,Não pertenço,Pertenço e frequento,Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Não fiz, mas poderia fazer","Não fiz, mas poderia fazer","Não fiz, mas poderia fazer","Sim, já fiz",Feminino,Ensino Superior,Branca,Cristã católica ,Pouco importante,ciência básica,,1C,Ciências Biológicas,Sudeste,28
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Interessado,Muito Interessado,Muito Interessado,Interessado,Muito Interessado,Pouco Interessado,Interessado,Pouco Interessado,Sim,Não,Sim,Sim,Não,Sim,Não,Sim,Sim,Canais da Fiocruz; Canais do Observa Science in Society; Plurissaberes; Redes do Atila Iamarino; do Hugo Fernandes; da Gabriela Bailas; Blog da Scielo; Agência Bori; Agência UFC; Seara da Ciência; Canais do Ibict; ,Insuficiente,Negativas,Às vezes,Raramente,Raramente,Raramente,Raramente,Frequentemente,Às vezes,Às vezes,Muito prejudicial,Muito prejudicial,Muito prejudicial,Prejudicial,Muito prejudicial,,Muito prejudicial,Muito prejudicial,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,Intermediário,Muitos benefícios,Alguns riscos,Concordo em partes,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo em parte,Concordo em parte,Nada preocupado,Muito preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Muito importante,Não,Não,Sim,Não,Sim,Sim,Não,Não,Não,Concordo em parte,Concordo totalmente,Concordo em parte,Concordo em parte,Concordo em parte,Discordo totalmente,Concordo totalmente,Muito importante,Muito importante,Muito importante,Importante,Muito importante,Muito importante,Importante,Muito importante,Muito importante,"Em geral, não",Sobre temas controversos de interesse público nos quais você tem alguma expertise.,Três vezes,Três vezes,Não,5 vezes,1 vez,1 vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,mais de 5 vezes,Nenhuma vez,3 vezes,Nenhuma vez,2 vezes,Nenhuma vez,Nenhuma vez,1 vez,Nenhuma vez,Muito importante,Muito importante,Muito importante,Muito importante,Frequentemente,Frequentemente,Nunca,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Concordo totalmente,Sim,,Participei como aluno,,,Conheço mas não participei,Conheço mas não participei,Conheço mas não participei,Participei como aluno,Não pertenço,Não pertenço,"Pertenço, mas não frequento muito","Pertenço, mas não frequento muito",Não pertenço,Não pertenço,Pertenço e frequento,Pertenço e frequento,Não pertenço,Não pertenço,"Sim, já fiz","Sim, já fiz","Não fiz, mas poderia fazer","Sim, já fiz","Sim, já fiz",Feminino,Ensino Superior,Parda,Não tenho religião,,ciência aplicada,De esquerda,2,Ciências Sociais Aplicadas,Nordeste,Há oito anos
